SN,MID_WID,SAP_New_Code,Nodal
1,213969_542133,20288975,20288975
2,213969_507754,20288976,20288976
3,213969_545295,20288980,Advance
4,213969_141438,20288981,20288981
5,851113_402632,20182134,20182134
6,851113_566843,20301615,20301615
7,851113_566844,20301616,20301616
8,883292_592382,20309905,20309905
9,883292_592383,20309906,20309906
10,883292_592384,20309907,20309907
11,883292_592385,20309908,20309908
12,883292_592386,20309909,20309909
13,883292_592387,20309910,20309910
14,883292_592388,20309911,20309911
15,883292_592389,20309912,20309912
16,883292_592390,20309913,20309913
17,883292_592391,20309914,20309914
18,883292_592392,20309915,20309915
19,883292_592393,20309916,20309916
20,883292_592394,20309917,20309917
21,883292_592395,20309918,20309918
22,883292_592396,20309919,20309919
23,883292_592397,20309920,20309920
24,883292_592398,20309921,20309921
25,883292_592399,20309922,20309922
26,883292_592400,20309923,20309923
27,883292_592401,20309924,20309924
28,883292_592402,20309925,20309925
29,883292_592403,20309926,20309926
30,883292_592404,20309927,20309927
31,883292_592405,20309928,20309928
32,883292_592406,20309929,20309929
33,883292_592407,20309930,20309930
34,883292_592408,20309931,20309931
35,883292_592409,20309932,20309932
36,883292_592410,20309933,20309933
37,883292_592411,20309934,20309934
38,883292_592412,20309935,20309935
39,883292_592413,20309936,20309936
40,883292_411182,20189770,20189770
41,883292_591659,20309937,20309937
42,883292_591660,20309938,20309938
43,883292_591661,20309939,20309939
44,883292_591662,20309940,20309940
45,883292_591663,20309941,20309941
46,883292_591664,20309942,20309942
47,883292_591665,20309943,20309943
48,883292_591666,20309944,20309944
49,883292_591667,20309945,20309945
50,883292_591668,20309946,20309946
51,883292_591669,20309947,20309947
52,883292_591670,20309948,20309948
53,883292_591671,20309949,20309949
54,883292_591672,20309950,20309950
55,883292_591673,20309951,20309951
56,883292_591674,20309952,20309952
57,883292_591675,20309953,20309953
58,883292_591676,20309954,20309954
59,883292_591677,20309955,20309955
60,883292_591678,20309956,20309956
61,883292_591679,20309957,20309957
62,883292_591680,20309958,20309958
63,883292_591681,20309959,20309959
64,883292_591682,20309960,20309960
65,883292_591683,20309961,20309961
66,883292_591684,20309962,20309962
67,883292_591685,20309963,20309963
68,883292_591686,20309964,20309964
69,883292_591687,20309965,20309965
70,883292_591688,20309966,20309966
71,883292_591689,20309967,20309967
72,883292_591690,20309968,20309968
73,883292_591691,20309969,20309969
74,928540_426843,20203475,20203475
75,928540_563569,20299416,20299416
76,928540_563570,20299417,20299417
77,928540_563571,20299418,20299418
78,928540_563572,20299419,20299419
79,928540_563573,20299420,20299420
80,928540_563575,20299421,20299421
81,928540_563576,20299422,20299422
82,928540_563577,20299423,20299423
83,928540_563578,20299424,20299424
84,928540_563580,20299425,20299425
85,928540_563581,20299426,20299426
86,970830_593901,20310405,20310405
87,970830_593899,20310406,20310406
88,970830_593902,20310407,20310407
89,970830_593900,20310408,20310408
90,970830_439167,20214262,20214262
91,970830_506008,20261508,20261508
92,1015737_535874,20284450,Advance
93,1015737_450978,20284451,Advance
94,1015737_507764,20284452,Advance
